,gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,powerPerformance,testDate,Desktop,"Desktop, Mobile",Mobile,"Mobile, Workstation",Unknown,Workstation
1404,Radeon HD 7520G + HD 7600M Dual,447,150,376.7527000000001,1.0600000000000007,32.1,20.4306,2014,0,0,0,0,1,0
1405,Radeon HD 7660G + 8600M Dual,446,360,236.3221000000001,1.9238000000000006,28.97,17.3945,2014,0,0,0,0,1,0
1406,PHDGD Ivy 5,445,497,599.2030999999993,0.7651999999999997,24.08,39.72029999999998,2020,0,0,0,0,1,0
1407,Radeon HD 7570M,445,197,191.80080000000012,2.3432999999999997,13.0,34.22,2012,0,0,1,0,0,0
1408,GeForce GT 320,444,92,32.69,13.59,43.0,10.33,2010,1,0,0,0,0,0
1409,GeForce GT 710M,444,123,507.25269999999995,0.9016000000000005,22.54,27.01089999999999,2014,0,0,0,0,1,0
1410,Radeon HD 7620G + HD 8600M Dual,443,267,243.00720000000015,1.875400000000001,26.644000000000002,21.0595,2014,0,0,0,0,1,0
1411,Radeon HD 8350G,443,332,224.17500000000004,1.9491000000000012,35.0,12.66,2013,0,0,1,0,0,0
1412,GeForce 8800 GTS,440,56,79.99,5.5,146.0,3.01,2012,1,0,0,0,0,0
1413,Quadro FX 4600,437,202,333.25,1.31,134.0,3.26,2009,0,0,0,0,0,1
1414,Quadro 410,436,218,129.0,3.38,38.0,11.47,2012,0,0,0,0,0,1
1415,GeForce GT 625M,435,210,219.98900000000012,1.9064000000000008,15.0,29.01,2013,0,0,1,0,0,0
1416,Radeon HD 7600G + HD Dual,435,158,322.03590000000014,1.4007999999999996,35.83,15.685800000000002,2014,0,0,0,0,1,0
1417,Radeon HD 8410G,435,263,230.05220000000017,1.909100000000001,24.924,20.29069999999999,2014,0,0,0,0,1,0
1418,Radeon HD 8570D,434,154,272.5301000000001,1.7224999999999997,30.9,17.2343,2013,0,0,0,0,1,0
1419,Quadro FX 2800M,433,80,190.0,2.28,75.0,5.77,2010,0,0,0,0,0,1
1420,Radeon HD 3850 AGP,432,92,146.40089999999992,2.8158,75.0,5.76,2012,1,0,0,0,0,0
1421,Radeon R5 M240,432,247,280.93600000000015,1.6652,27.184,26.29609999999998,2015,0,0,0,0,1,0
1422,GeForce GT 620M,431,129,247.19160000000036,1.8241000000000005,15.0,28.73,2012,0,0,1,0,0,0
1423,GeForce 800A,428,224,252.99170000000015,1.8174000000000006,23.654,27.65809999999997,2015,0,0,0,0,1,0
1424,GeForce 9800M GT,424,130,150.8970999999999,2.6620000000000026,65.0,6.53,2009,0,0,1,0,0,0
1425,Radeon HD 7640G + HD 7500/7600 Dual,424,301,287.13440000000026,1.6345000000000005,29.585,23.022499999999994,2015,0,0,0,0,1,0
1426,Radeon HD 7600G + 7550M Dual,423,247,254.10120000000003,1.8088000000000006,26.814,21.703799999999998,2014,0,0,0,0,1,0
1427,Radeon HD 7640G N HD 7640G + HD 8570M Dual,423,287,250.6392000000001,1.8349000000000009,27.344,20.3427,2013,0,0,0,0,1,0
1428,RADEON HD6410D,423,296,181.51970000000009,2.4278000000000004,36.775999999999996,12.028899999999997,2012,0,0,0,0,1,0
1429,GeForce GT 330,422,119,39.99,10.55,55.175,8.401000000000007,2010,0,0,0,0,1,0
1430,Radeon HD 8570M,422,164,362.2240999999999,1.3432000000000004,33.71,21.018399999999993,2015,0,0,0,0,1,0
1431,Intel 4th Generation Haswell HD,420,734,482.3975,0.9198999999999999,72.14,22.027799999999985,2017,0,0,0,0,1,0
